Experiment,Size of the batches,Type of the shipping box,Cycle time factor,Number of the operators,Type of the quality check,Percentage of the quality check,Overshooting,Elapsed time,Used rods,Used raw bases,Used pins,Outcome - All,Outcome - OK,Outcome - NOK,Used retail boxes,Used shipper boxes,Used pallets,Reached the required amount,Difference from the required - OK,Difference from the required - All,Used electricity - T100,Used electricity - T200,Used electricity - T800,Income,Outgo,Profit,Machine T100 - Waiting for MU,Machine T100 - Processing,Machine T100 - Failed,Machine T100 - Setting up,Machine T200 - Waiting for MU,Machine T200 - Processing,Machine T200 - Failed,Machine T200 - Setting up,Machine T800 - Waiting for MU,Machine T800 - Processing,Machine T800 - Failed,Machine T800 - Setting up,Operator 01 - Waiting for job,Operator 01 - On the way,Operator 01 - Processing,Operator 01 - Repairing,Operator 01 - Setting up,Operator 01 - Inspectioning,Operator 02 - Waiting for job,Operator 02 - On the way,Operator 02 - Processing,Operator 02 - Repairing,Operator 02 - Setting up,Operator 02 - Inspectioning,Operator 03 - Waiting for job,Operator 03 - On the way,Operator 03 - Processing,Operator 03 - Repairing,Operator 03 - Setting up,Operator 03 - Inspectioning,Robot 01 - Free,Robot 01 - Moving,Robot 01 - Waiting during task,Robot 01 - Processing,Robot 01 - Exchanging,Robot 01 - Taking down,Robot 01 - Picking up,Robot 02 - Free,Robot 02 - Moving,Robot 02 - Waiting during task,Robot 02 - Processing,Robot 02 - Exchanging,Robot 02 - Taking down,Robot 02 - Picking up
Exp 3462,2,2,0.2,1,1,0.2,0.1,10:59:50,414,1100,3300,1094,1058,36,1094,46,3,1,58,94,65.78,53.32,69.55,5229.32,4609.54,619.78,5163.289,34320.000,56.711,0.000,9434.128,27820.800,230.072,2055.000,2933.341,36285.000,321.659,0.000,23938.130,7865.167,5282.000,399.703,2055.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13295.859,17496.141,0.000,0.000,0.000,4374.000,4374.000,38235.000,1035.000,0.000,0.000,0.000,135.000,135.000
Exp 3466,2,2,0.2,1,1,0.4,0.1,11:07:09,414,1100,3300,1074,1054,20,1074,45,3,1,54,74,65.78,53.32,71.01,5133.72,4514.35,619.37,5643.289,34320.000,56.711,0.000,9913.355,27820.800,230.845,2055.000,2590.399,37047.000,382.601,0.000,24526.682,7764.615,5274.000,399.703,2055.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14244.000,17184.000,0.000,0.000,0.000,4296.000,4296.000,38715.000,1035.000,0.000,0.000,0.000,135.000,135.000
Exp 3458,2,2,0.2,1,1,0.0,0.1,10:58:41,414,1100,3300,1100,1058,42,1100,46,3,1,58,100,65.78,53.32,68.31,5258.00,4640.35,617.65,5103.289,34320.000,56.711,0.000,9403.743,27820.800,200.457,2055.000,3482.530,35640.000,357.470,0.000,23898.832,7844.465,5282.000,399.703,2055.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13082.701,17598.000,0.000,0.000,0.000,4400.000,4399.299,38175.000,1035.000,0.000,0.000,0.000,135.000,135.000
Exp 3478,2,2,0.2,1,1,1.0,0.1,11:40:21,414,1100,3300,1052,1052,0,1052,44,3,1,52,52,65.78,53.32,74.91,5028.56,4411.33,617.23,7623.289,34320.000,56.711,0.000,11928.412,27820.800,195.788,2055.000,2647.881,39084.000,268.119,0.000,26672.431,7614.866,5258.000,399.703,2055.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16752.000,16832.000,0.000,0.000,0.000,4208.000,4208.000,40735.219,1003.781,0.000,0.000,0.000,132.000,129.000
Exp 3470,2,2,0.2,1,1,0.6,0.1,11:16:55,414,1100,3300,1076,1054,22,1076,45,3,1,54,76,65.78,53.32,72.15,5143.28,4527.59,615.69,6183.289,34320.000,56.711,0.000,10487.420,27820.800,196.780,2055.000,2560.417,37641.000,358.583,0.000,25211.635,7635.662,5258.000,399.703,2055.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14752.282,17205.718,0.000,0.000,0.000,4302.000,4300.000,39284.000,1012.000,0.000,0.000,0.000,132.000,132.000
Exp 3474,2,2,0.2,1,1,0.8,0.1,11:27:45,414,1100,3300,1057,1049,8,1057,45,3,1,49,57,65.78,53.32,73.66,5052.46,4442.41,610.05,6843.289,34320.000,56.711,0.000,11158.066,27820.800,186.134,2055.000,2540.862,38430.000,249.138,0.000,25916.909,7590.388,5258.000,399.703,2055.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15858.937,16907.063,0.000,0.000,0.000,4228.000,4226.000,39944.537,1011.463,0.000,0.000,0.000,132.000,132.000
Exp 2742,2,1,0.2,1,1,0.2,0.1,10:59:50,414,1100,3300,1094,1058,36,1094,61,3,1,58,94,65.78,53.32,69.55,5229.32,4626.67,602.65,5163.289,34320.000,56.711,0.000,9434.128,27820.800,230.072,2055.000,2933.341,36285.000,321.659,0.000,23938.130,7865.167,5282.000,399.703,2055.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13295.859,17496.141,0.000,0.000,0.000,4374.000,4374.000,37800.000,1380.000,0.000,0.000,0.000,180.000,180.000
Exp 2746,2,1,0.2,1,1,0.4,0.1,11:07:09,414,1100,3300,1074,1054,20,1074,60,3,1,54,74,65.78,53.32,71.01,5133.72,4531.60,602.12,5643.289,34320.000,56.711,0.000,9913.355,27820.800,230.845,2055.000,2590.399,37047.000,382.601,0.000,24526.682,7764.615,5274.000,399.703,2055.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14244.000,17184.000,0.000,0.000,0.000,4296.000,4296.000,38280.000,1380.000,0.000,0.000,0.000,180.000,180.000
Exp 3482,2,2,0.2,1,2,0.0,0.1,10:58:41,414,1100,3300,1100,1051,49,1100,46,3,1,51,100,65.78,53.32,68.31,5258.00,4656.10,601.90,5103.289,34320.000,56.711,0.000,9403.743,27820.800,200.457,2055.000,3482.530,35640.000,357.470,0.000,23898.832,7844.465,5282.000,399.703,2055.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13082.701,17598.000,0.000,0.000,0.000,4400.000,4399.299,38175.000,1035.000,0.000,0.000,0.000,135.000,135.000
Exp 2758,2,1,0.2,1,1,1.0,0.1,11:40:21,414,1100,3300,1052,1052,0,1052,59,3,1,52,52,65.78,53.32,74.91,5028.56,4428.70,599.86,7623.289,34320.000,56.711,0.000,11928.412,27820.800,195.788,2055.000,2647.881,39084.000,268.119,0.000,26672.431,7614.866,5258.000,399.703,2055.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16752.000,16832.000,0.000,0.000,0.000,4208.000,4208.000,40300.219,1348.781,0.000,0.000,0.000,177.000,174.000
Exp 4182,2,3,0.2,1,1,0.2,0.1,10:59:50,414,1100,3300,1094,1058,36,1094,37,5,1,58,94,65.78,53.32,69.55,5229.32,4630.20,599.12,5163.289,34320.000,56.711,0.000,9434.128,27820.800,230.072,2055.000,2933.341,36285.000,321.659,0.000,23938.130,7865.167,5282.000,399.703,2055.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13295.859,17496.141,0.000,0.000,0.000,4374.000,4374.000,38496.000,828.000,0.000,0.000,0.000,108.000,108.000
Exp 2738,2,1,0.2,1,1,0.0,0.1,10:58:41,414,1100,3300,1100,1058,42,1100,62,3,1,58,100,65.78,53.32,68.31,5258.00,4658.99,599.01,5103.289,34320.000,56.711,0.000,9403.743,27820.800,200.457,2055.000,3482.530,35640.000,357.470,0.000,23898.832,7844.465,5282.000,399.703,2055.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13082.701,17598.000,0.000,0.000,0.000,4400.000,4399.299,37711.000,1403.000,0.000,0.000,0.000,183.000,183.000
Exp 4186,2,3,0.2,1,1,0.4,0.1,11:07:09,414,1100,3300,1074,1054,20,1074,36,5,1,54,74,65.78,53.32,71.01,5133.72,4534.92,598.80,5643.289,34320.000,56.711,0.000,9913.355,27820.800,230.845,2055.000,2590.399,37047.000,382.601,0.000,24526.682,7764.615,5274.000,399.703,2055.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14244.000,17184.000,0.000,0.000,0.000,4296.000,4296.000,38976.000,828.000,0.000,0.000,0.000,108.000,108.000
Exp 2750,2,1,0.2,1,1,0.6,0.1,11:16:55,414,1100,3300,1076,1054,22,1076,60,3,1,54,76,65.78,53.32,72.15,5143.28,4544.84,598.44,6183.289,34320.000,56.711,0.000,10487.420,27820.800,196.780,2055.000,2560.417,37641.000,358.583,0.000,25211.635,7635.662,5258.000,399.703,2055.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14752.282,17205.718,0.000,0.000,0.000,4302.000,4300.000,38849.000,1357.000,0.000,0.000,0.000,177.000,177.000
Exp 4178,2,3,0.2,1,1,0.0,0.1,10:58:41,414,1100,3300,1100,1058,42,1100,37,5,1,58,100,65.78,53.32,68.31,5258.00,4661.01,596.99,5103.289,34320.000,56.711,0.000,9403.743,27820.800,200.457,2055.000,3482.530,35640.000,357.470,0.000,23898.832,7844.465,5282.000,399.703,2055.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13082.701,17598.000,0.000,0.000,0.000,4400.000,4399.299,38436.000,828.000,0.000,0.000,0.000,108.000,108.000
Exp 3490,2,2,0.2,1,2,0.4,0.1,13:23:18,414,1100,3300,1085,1062,23,1085,46,3,1,62,85,65.78,53.32,70.61,5186.30,4589.55,596.75,13669.197,34320.000,190.803,0.000,18118.066,27820.800,186.134,2055.000,11049.582,36841.800,288.618,0.000,22651.161,7903.736,5282.000,399.703,2055.000,9888.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22140.000,17360.000,0.000,0.000,0.000,4340.000,4340.000,46854.474,1052.526,0.000,0.000,0.000,138.000,135.000
Exp 4190,2,3,0.2,1,1,0.6,0.1,11:16:55,414,1100,3300,1076,1054,22,1076,36,5,1,54,76,65.78,53.32,72.15,5143.28,4548.16,595.12,6183.289,34320.000,56.711,0.000,10487.420,27820.800,196.780,2055.000,2560.417,37641.000,358.583,0.000,25211.635,7635.662,5258.000,399.703,2055.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14752.282,17205.718,0.000,0.000,0.000,4302.000,4300.000,39545.000,805.000,0.000,0.000,0.000,105.000,105.000
Exp 4198,2,3,0.2,1,1,1.0,0.1,11:40:21,414,1100,3300,1052,1052,0,1052,36,5,1,52,52,65.78,53.32,74.91,5028.56,4433.53,595.03,7623.289,34320.000,56.711,0.000,11928.412,27820.800,195.788,2055.000,2647.881,39084.000,268.119,0.000,26672.431,7614.866,5258.000,399.703,2055.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16752.000,16832.000,0.000,0.000,0.000,4208.000,4208.000,40967.219,819.781,0.000,0.000,0.000,108.000,105.000
Exp 3486,2,2,0.2,1,2,0.2,0.1,12:13:04,414,1100,3300,1084,1053,31,1084,46,3,1,53,84,65.78,53.32,69.66,5181.52,4586.73,594.79,9552.306,34320.000,107.694,0.000,13865.911,27820.800,238.289,2055.000,7344.305,36345.600,290.095,0.000,23516.813,7811.884,5282.000,399.703,2055.000,4914.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17964.000,17344.000,0.000,0.000,0.000,4336.000,4336.000,42646.000,1058.000,0.000,0.000,0.000,138.000,138.000
